fname,verified_tags,toptag_eng_verified,4Q
01 - Game de check! Koutsuu Anzen (FM) - Instructions.mid,"cheerful, comic",cheerful,Q1
01 A Ball of Light.mid,"dreamy, bizarre",dreamy,Q4
01 Compile.mid,peaceful,peaceful,Q4
01 Hyper Defending Force (Title).mid,"tense, serious, fluttered, rhythmic",tense,Q2
01 Is it Domingo Today.mid,"cheerful, speedy, fluttered",cheerful,Q1
01 Last Attack.mid,"tense, serious",tense,Q2
01 Opening #1.mid,"creepy, bizarre, cold",creepy,Q2
01 Opening Theme 1.mid,"depressed, serious, boring, calm",depressed,Q3
01 Opening Theme.mid,"tense, serious",tense,Q2
01 Peddler.mid,"creepy, depressed, comic",creepy,Q2
01 Pikupiku Team.mid,"cheerful, tense, cute",cheerful,Q1
01 Prologue.mid,"tense, creepy, serious, dreamy, fluttered, calm",tense,Q2
01 Sample 1.mid,"tense, serious, speedy, rhythmic",rhythmic,Q1
01 Sophistication #1.mid,"dreamy, rhythmic",rhythmic,Q1
01 Title Screen.mid,"tense, depressed, serious, cold",tense,Q2
01 Title ~ Home Run.mid,"cheerful, comic",cheerful,Q1
01 Title.mid,"tense, dreamy, bizarre",bizarre,Q3
01_Title.mid,"cheerful, touching, fluttered, rhythmic",cheerful,Q1
"02 - Game de check! Koutsuu Anzen (FM) - Practice, Starting.mid","cheerful, peaceful",cheerful,Q1
02 Area-1 (Graveyard - The Deep Sea).mid,"tense, rhythmic",tense,Q2
02 Constructor.mid,"cheerful, speedy, rhythmic",rhythmic,Q1
02 Game Select.mid,"tense, serious",tense,Q2
02 Ice of Death.mid,"cheerful, tense",cheerful,Q1
02 Mode Select.mid,"cheerful, tense, rhythmic",tense,Q2
02 Moon Light Sonata.mid,"depressed, serious, bizarre, calm",depressed,Q3
02 Name Entry.mid,"cheerful, tense, fluttered",tense,Q2
02 Opening #2.mid,"tense, serious, grand",tense,Q2
02 Opening 1.mid,"peaceful, comic, speedy, cute",peaceful,Q4
02 Opening Theme 2.mid,"tense, depressed, serious, calm",tense,Q2
02 Play Ball.mid,"cheerful, rhythmic",cheerful,Q1
02 Prologue DIA51.mid,"tense, depressed, serious, grand",tense,Q2
02 Recon Story Demo.mid,"tense, creepy",tense,Q2
02 Sample 2.mid,"cheerful, tense, serious, rhythmic",cheerful,Q1
02 Select Weapon.mid,"cheerful, tense, rhythmic",tense,Q2
02 Start Demo.mid,"tense, grand",tense,Q2
02 Team Select.mid,"cheerful, rhythmic",cheerful,Q1
02 Technotris.mid,"tense, rhythmic",tense,Q2
02 Title.mid,"cheerful, rhythmic",cheerful,Q1
02 User Disk Creation.mid,"cheerful, peaceful",cheerful,Q1
02_Map.mid,"cheerful, speedy",cheerful,Q1
03 - Game de check! Koutsuu Anzen (FM) - Driving Eye.mid,cheerful,cheerful,Q1
03 Car Select.mid,"cheerful, speedy, fluttered",speedy,Q1
03 Cold Amoeba.mid,"tense, speedy",tense,Q2
03 Game Start.mid,cheerful,cheerful,Q1
03 Hyper Drive.mid,"tense, serious, speedy, rhythmic",tense,Q2
03 Life in Space.mid,"speedy, fluttered, rhythmic",fluttered,Q1
03 Main BGM.mid,"cheerful, comic, cute",cheerful,Q1
03 Opening 2.mid,"cheerful, peaceful, comic, cute",cheerful,Q1
03 Opening Theme.mid,"tense, serious, grand",tense,Q2
03 Pit Approach.mid,"cheerful, speedy, fluttered",fluttered,Q1
03 Practice Makes Perfect.mid,"tense, speedy, fluttered, rhythmic",speedy,Q1
03 Ready!.mid,grand,grand,Q1
03 Sample 3.mid,"creepy, calm",creepy,Q2
03 Stage 1.mid,"tense, speedy, fluttered",tense,Q2
03 Title Screen.mid,"cheerful, speedy, fluttered",cheerful,Q1
03 Traditional Bar.mid,"depressed, serious, calm",serious,Q3
03 Tuning Mode.mid,"cheerful, tense, serious",cheerful,Q1
03 Utility.mid,"cheerful, peaceful",peaceful,Q4
03_Palm.mid,"cheerful, serious, rhythmic",cheerful,Q1
04 - Game de check! Koutsuu Anzen (FM) - Speed Sense.mid,"cheerful, cute",cheerful,Q1
"04 Act 1, 6.mid","tense, speedy",tense,Q2
04 Chance BGM.mid,cheerful,cheerful,Q1
04 Course Overview.mid,"tense, speedy",tense,Q2
04 Driver Info.mid,"cheerful, touching, fluttered",touching,Q4
04 Interlude.mid,"cheerful, tense, speedy",cheerful,Q1
04 Level Clear.mid,cheerful,cheerful,Q1
04 Main BGM.mid,"cheerful, comic, cute",cheerful,Q1
04 Metal Creature A.mid,tense,tense,Q2
04 Metropolis (Area 1).mid,"tense, speedy, grand, rhythmic",rhythmic,Q1
"04 Player - Stage Select, Parameter Set.mid","cheerful, rhythmic",cheerful,Q1
04 Sample 4.mid,"cheerful, tense",tense,Q2
04 Stage 2.mid,"tense, creepy, bizarre, cold",bizarre,Q3
04 The March of Heroes.mid,"peaceful, grand",grand,Q1
04 Title-Ending.mid,"cheerful, touching, rhythmic",cheerful,Q1
04 Turn on The Run.mid,"cheerful, speedy, rhythmic",cheerful,Q1
04 Warp.mid,tense,tense,Q2
04_Battle.mid,"tense, speedy, rhythmic",tense,Q2
05 - Game de check! Koutsuu Anzen (FM) - Driving Technique.mid,"cheerful, cute",cheerful,Q1
05 Area Clear.mid,speedy,speedy,Q1
05 Colonel Claud (Miniboss).mid,"tense, creepy, speedy, grand, bizarre",tense,Q2
05 Demon War.mid,"tense, speedy, rhythmic",tense,Q2
05 Forest.mid,"cheerful, tense, speedy",tense,Q2
05 Game Set.mid,"comic, frustrating",frustrating,Q3
05 Mad Flame.mid,"tense, serious, speedy, fluttered",tense,Q2
05 Mission 1 - Practice.mid,"cheerful, tense, speedy, fluttered",cheerful,Q1
05 Old Master_s House.mid,"tense, comic, dreamy, bizarre",bizarre,Q3
05 Out of Rap.mid,"cheerful, fluttered, rhythmic",cheerful,Q1
05 Sample 5.mid,"tense, speedy, rhythmic",tense,Q2
05 Scramble Story Demo.mid,"tense, creepy, bizarre, cold",bizarre,Q3
05 Setting.mid,"cheerful, tense, serious, cold",cheerful,Q1
05 Stage 3.mid,"cheerful, speedy, fluttered",cheerful,Q1
05 Stage-1.mid,"tense, speedy, rhythmic",tense,Q2
05 Street Fighter (Sub Boss).mid,"tense, serious",tense,Q2
05 Time.mid,"cheerful, cute",cheerful,Q1
05 Town.mid,"cheerful, peaceful, calm",cheerful,Q1
05 Victory.mid,"cheerful, peaceful, speedy, fluttered",speedy,Q1
05_Death.mid,frustrating,frustrating,Q3
06 - Game de check! Koutsuu Anzen (FM) - Risk Control.mid,"cheerful, peaceful, calm",cheerful,Q1
06 Area-2 (Lost World - The Island).mid,"cheerful, tense, serious",tense,Q2
06 Beyond the Dimension.mid,"cheerful, speedy, fluttered",cheerful,Q1
06 Boss 1.mid,"tense, creepy, grand",tense,Q2
06 Boss.mid,"tense, speedy",tense,Q2
06 Celebration 2.mid,"cheerful, comic, speedy",cheerful,Q1
06 Cemetery.mid,"creepy, rhythmic",rhythmic,Q1
06 Chance BGM.mid,"cheerful, grand",cheerful,Q1
06 Crisis Area.mid,tense,tense,Q2
06 Dass XXX.mid,"serious, fluttered, rhythmic",fluttered,Q1
06 Fearless Church.mid,"depressed, serious, grand, calm",depressed,Q3
06 Field.mid,"cheerful, tense, fluttered, cold",cheerful,Q1
06 Hot Road.mid,"cheerful, rhythmic",cheerful,Q1
06 Rapid Turning (Area Boss).mid,"tense, speedy",tense,Q2
06 Select Your Tactics!.mid,"cheerful, tense, serious, speedy",cheerful,Q1
06 Staff Roll.mid,"peaceful, touching, calm",touching,Q4
06 Stage 4.mid,"tense, speedy, rhythmic",speedy,Q1
06 Unknown.mid,"cheerful, speedy",cheerful,Q1
06_Over.mid,"depressed, serious, calm",depressed,Q3
07 - Game de check! Koutsuu Anzen (FM) - You_re The Best Driver.mid,"cheerful, speedy, cute",cheerful,Q1
07 Change 1.mid,cheerful,cheerful,Q1
07 Clear #1.mid,"cheerful, grand",cheerful,Q1
07 Dungeon.mid,"tense, creepy, depressed, bizarre",tense,Q2
07 Get the Luck.mid,"tense, speedy",tense,Q2
07 Go Ahead (Area Clear).mid,cheerful,cheerful,Q1
07 Love in Space.mid,"cheerful, touching, fluttered",touching,Q4
07 Make What Haste You Can!.mid,"tense, speedy, rhythmic",tense,Q2
07 Metal Creature B.mid,"tense, speedy",tense,Q2
07 Mission 2.mid,"tense, serious, rhythmic",rhythmic,Q1
07 Ruins.mid,"tense, creepy, depressed, serious, speedy",tense,Q2
07 Solvalou.mid,"creepy, dreamy, cold",creepy,Q2
07 Stage 5.mid,"cheerful, tense",cheerful,Q1
07_Bonus.mid,"cheerful, speedy, dreamy, fluttered, cold",cheerful,Q1
08 - Game de check! Koutsuu Anzen (FM) - Game Over.mid,frustrating,frustrating,Q3
"08 Act 2, 7.mid","cheerful, tense, serious, speedy, rhythmic",tense,Q2
08 Battle.mid,"cheerful, tense, creepy, speedy, fluttered, rhythmic",cheerful,Q1
08 Big Don.mid,"cheerful, tense, speedy, fluttered",cheerful,Q1
08 Boss 1.mid,"tense, serious, speedy",tense,Q2
08 Boss 2.mid,"tense, grand",tense,Q2
08 Change 2.mid,cheerful,cheerful,Q1
08 Flying on a String.mid,"tense, serious",tense,Q2
08 Inorganic Beat.mid,"tense, serious, speedy, rhythmic",speedy,Q1
08 Rocks.mid,"cheerful, tense, serious, speedy, rhythmic",tense,Q2
08 Solgrado.mid,"creepy, bizarre",bizarre,Q3
08 Stage-2.mid,"tense, creepy, speedy, cold",tense,Q2
08 The Challenger (Area 2).mid,"tense, serious, speedy",tense,Q2
08 Travelers Inn (Disappearance of the King_s Scepter).mid,"depressed, serious, calm",depressed,Q3
08 Village-Town.mid,"cheerful, comic, rhythmic",cheerful,Q1
08 Visual Alien (Visual Scene 1).mid,"tense, serious, grand",grand,Q1
08_Ice.mid,"serious, grand",serious,Q3
09 - Game de check! Koutsuu Anzen (FM) - Pyonkichi_s Adventure.mid,"cheerful, peaceful, cute",cheerful,Q1
09 Act 3.mid,"tense, speedy, dreamy, cold",tense,Q2
09 Area-3 (Electric Woods - The Fortress City).mid,"depressed, serious",serious,Q3
09 Bio-Monster.mid,"tense, speedy",tense,Q2
09 Cavern.mid,"tense, serious, speedy",tense,Q2
09 Change 3.mid,peaceful,peaceful,Q4
09 Clear.mid,"cheerful, grand",cheerful,Q1
09 Glory.mid,"cheerful, speedy, rhythmic",cheerful,Q1
09 Level 5.mid,"tense, serious, fluttered",tense,Q2
09 Mission 3.mid,"cheerful, tense, serious, speedy, cold",cheerful,Q1
09 Neargead Castle.mid,"tense, creepy, depressed, serious, dreamy, bizarre",bizarre,Q3
09 Stage-3.mid,"tense, serious, speedy, fluttered",tense,Q2
09 Tension of Dark Side (Area 3).mid,"tense, speedy, fluttered",tense,Q2
09 Zeodalley.mid,"tense, dreamy, bizarre, cold",tense,Q2
09_Ruins.mid,"cheerful, serious, speedy, fluttered",cheerful,Q1
10 - Game de check! Koutsuu Anzen (FM) - Pyonko-Chan - Well Done.mid,cheerful,cheerful,Q1
10 Act 4.mid,"tense, creepy, serious, speedy, grand, fluttered",tense,Q2
10 Area-4 (Clouds - The Air Castle).mid,"cheerful, speedy, fluttered, rhythmic",cheerful,Q1
10 Boss 3.mid,"tense, serious, speedy, grand",tense,Q2
10 Castle.mid,"cheerful, peaceful, touching, grand, fluttered",cheerful,Q1
10 Demo 1.mid,"cheerful, tense, speedy, grand, fluttered, rhythmic",cheerful,Q1
10 Dungeon.mid,"cheerful, tense, serious, speedy",cheerful,Q1
10 Ending.mid,"peaceful, serious, touching, calm",touching,Q4
10 Game Set (Won).mid,"cheerful, peaceful",cheerful,Q1
10 GAMP Mission.mid,"tense, serious",tense,Q2
10 Light Step.mid,"cheerful, speedy, rhythmic",speedy,Q1
10 Return of Peace.mid,"cheerful, peaceful, serious, touching, speedy, grand, fluttered",cheerful,Q1
10 Stage-4.mid,"cheerful, tense, serious, speedy, rhythmic",tense,Q2
10 The Devastation (Area 4).mid,"tense, creepy, serious",serious,Q3
10 Underground Dungeon (The Lost Talisman).mid,"tense, serious",tense,Q2
10_Forest.mid,"cheerful, tense, serious, speedy, grand, fluttered, rhythmic",cheerful,Q1
11 - Game de check! Koutsuu Anzen (FM) - Pyonko-Chan - Try Harder Next Time.mid,cheerful,cheerful,Q1
"11 Act 5, 8.mid","tense, serious, speedy, rhythmic",tense,Q2
11 Boss.mid,"tense, serious, speedy",tense,Q2
11 Calm Feeling.mid,"peaceful, serious, touching, dreamy, calm",touching,Q4
11 Ending.mid,"tense, depressed, serious, speedy",tense,Q2
11 Game Set (Draw).mid,"cheerful, speedy, grand",cheerful,Q1
11 Milly_s Theme.mid,"cheerful, peaceful, comic, speedy, cute, rhythmic",cheerful,Q1
11 Mission 4.mid,"tense, serious, speedy, grand",tense,Q2
11 Sadness.mid,"creepy, depressed, serious, boring, cold, calm",depressed,Q3
11 Sophistication #3.mid,"cheerful, rhythmic",cheerful,Q1
11 Stage 6.mid,"tense, creepy, serious, speedy, cold",tense,Q2
11 Stage-5.mid,"tense, serious, speedy, grand",tense,Q2
11 The Solitude (Area 5).mid,"cheerful, serious, speedy, rhythmic",serious,Q3
11 Visual Theme of Stacy (Visual Scene 2).mid,"peaceful, serious, fluttered, calm",fluttered,Q1
11 Voice of God.mid,"dreamy, boring, cold, calm",dreamy,Q4
11 Your Rank.mid,"cheerful, touching, speedy, grand, fluttered",touching,Q4
11_Complete.mid,"tense, grand, fluttered",fluttered,Q1
12 - Game de check! Koutsuu Anzen (FM) - Alex Kidd Jingle (unused).mid,"cheerful, cute",cheerful,Q1
12 Aerial Castle Appearance.mid,"creepy, dreamy, boring, bizarre",bizarre,Q3
12 Area-5 (Van Allen - The Alien Attack).mid,"tense, speedy",tense,Q2
12 Boss 4.mid,"tense, creepy, speedy, rhythmic, cold",tense,Q2
12 Continue.mid,"tense, speedy, dreamy",tense,Q2
12 Event Clear.mid,"cheerful, touching, grand",touching,Q4
"12 Game Over (Namco Logo, The Tower of Druaga).mid","serious, cold",cold,Q3
12 Game Set (Lose).mid,"cheerful, peaceful, comic, cute",cheerful,Q1
12 Red Zone (Area 6).mid,"tense, creepy, depressed, serious",tense,Q2
12 Stage 7.mid,"tense, serious, speedy, rhythmic",tense,Q2
12 Stage Clear.mid,cheerful,cheerful,Q1
12 Stage-6.mid,"tense, serious, speedy, grand, fluttered, cold",tense,Q2
12 Ultimate Weapon (Last Boss).mid,"tense, creepy, depressed, bizarre, cold, calm",bizarre,Q3
12_Credits.mid,"serious, touching, speedy, calm",touching,Q4
13 Area-6 (What_s Goin_on in the Chase).mid,"cheerful, tense, speedy",cheerful,Q1
13 Demo.mid,"tense, depressed, frustrating, cold",tense,Q2
13 Don_t Cry Hi-Yah (Area 7).mid,"cheerful, tense, creepy, serious, speedy",tense,Q2
13 Drunkard.mid,"depressed, serious, boring",depressed,Q3
13 Ending #1.mid,"tense, serious, speedy, fluttered",tense,Q2
13 Game Over.mid,"cheerful, cute",cheerful,Q1
13 Mission 5.mid,"cheerful, tense, serious, speedy, fluttered",cheerful,Q1
13 Ship.mid,"touching, calm",touching,Q4
13 Shooting Scene.mid,"cheerful, tense, speedy",cheerful,Q1
13 Staff Roll.mid,"cheerful, speedy, fluttered, rhythmic",cheerful,Q1
13 Stage 8.mid,"tense, serious, speedy, fluttered",tense,Q2
13 The Final Curtain.mid,"tense, speedy, fluttered",tense,Q2
14 Aerial Castle Kwol.mid,"tense, depressed, grand",tense,Q2
14 Bloody Jewel (Area 8).mid,"cheerful, tense, dreamy",tense,Q2
14 Boss 2.mid,"tense, creepy, speedy, rhythmic, cold",tense,Q2
14 Boss 5.mid,"tense, serious, speedy, rhythmic",tense,Q2
14 Clear #2.mid,"cheerful, fluttered",cheerful,Q1
14 Conspirators.mid,"creepy, dreamy, bizarre",dreamy,Q4
14 Extend (Compile).mid,cheerful,cheerful,Q1
14 Fortress.mid,"tense, creepy, depressed, serious, cold, calm",tense,Q2
14 Pirate Island.mid,"cheerful, tense, speedy, fluttered, rhythmic",cheerful,Q1
14 Staff Roll (Short).mid,"cheerful, speedy, fluttered, rhythmic",cheerful,Q1
14 Visual Great Race (Visual Scene 3).mid,"tense, serious",tense,Q2
15 Dogodaga-Dogodege (Final Boss).mid,"tense, speedy",tense,Q2
15 Dragon.mid,"cheerful, touching, grand, fluttered",cheerful,Q1
15 Ending #2.mid,"cheerful, serious, grand",cheerful,Q1
15 Game Over.mid,"cold, calm",calm,Q4
15 Last Boss.mid,"tense, creepy, serious, bizarre",tense,Q2
15 Mission 6.mid,"tense, speedy, fluttered, rhythmic",tense,Q2
15 Name Entry.mid,"tense, serious, speedy, rhythmic",speedy,Q1
15 Spanish Communist Party.mid,"depressed, serious, boring, calm",depressed,Q3
15 Staff Roll (Ending Credits).mid,"depressed, serious, dreamy",dreamy,Q4
15 Unused 1.mid,"dreamy, bizarre, cold",cold,Q3
16 Again (Game Over).mid,"touching, dreamy, calm",touching,Q4
16 Agnesia.mid,"cheerful, tense, rhythmic",cheerful,Q1
16 Boss 6.mid,"tense, creepy, speedy, bizarre",bizarre,Q3
16 Demo 2.mid,"tense, creepy, depressed, dreamy, bizarre",bizarre,Q3
16 Ending 1.mid,"cheerful, peaceful, calm",cheerful,Q1
16 Game Over.mid,"dreamy, cold, calm",calm,Q4
16 Unused 2.mid,"tense, creepy, depressed, bizarre",bizarre,Q3
16 Visual Wedding (Hidden Ending).mid,"cheerful, peaceful, serious, touching, grand, cold, calm",touching,Q4
17 Boss 3.mid,"tense, speedy",tense,Q2
17 Ending 1.mid,"cheerful, serious, touching, fluttered",fluttered,Q1
17 Ending 2.mid,tense,tense,Q2
17 Game Over.mid,"depressed, frustrating, calm",depressed,Q3
17 Last Scene.mid,"tense, creepy, bizarre",tense,Q2
17 Mission 7.mid,"tense, speedy, dreamy, fluttered, rhythmic",tense,Q2
17 Triumph (Ending).mid,"cheerful, tense, serious",cheerful,Q1
18 Boss 7.mid,"cheerful, tense, speedy",cheerful,Q1
18 Darkmare.mid,"cheerful, tense, speedy, rhythmic",cheerful,Q1
18 Easy Going (Bonus Area).mid,"cheerful, fluttered",cheerful,Q1
18 Ending.mid,"cheerful, peaceful, touching",cheerful,Q1
18 Ending 2.mid,"cheerful, peaceful, speedy, fluttered",cheerful,Q1
18 Ending 3.mid,"peaceful, touching, calm",touching,Q4
19 Mission 8.mid,"cheerful, tense, serious",cheerful,Q1
19 Staff Roll.mid,"serious, dreamy, fluttered, cold",serious,Q3
19 Valua_s Feast.mid,"cheerful, comic, speedy, rhythmic",cheerful,Q1
20 Boss 8.mid,tense,tense,Q2
20 Epilogue.mid,"peaceful, touching, dreamy, cold, calm",touching,Q4
20 Game Over.mid,"depressed, frustrating, calm",frustrating,Q3
21 Mission 9.mid,"tense, speedy, grand, rhythmic",tense,Q2
21 Ranking Display.mid,"cheerful, tense, serious, speedy",tense,Q2
21 Rooftop (Thieves Tower).mid,"tense, creepy, bizarre",bizarre,Q3
22 Boss 9.mid,"cheerful, tense, serious, speedy, grand, rhythmic",cheerful,Q1
22 Ranking.mid,"cheerful, tense, serious, rhythmic",cheerful,Q1
22 Staff Roll.mid,"cheerful, comic, grand",cheerful,Q1
23 Event.mid,"cheerful, grand",cheerful,Q1
