fname,verified_tags,toptag_eng_verified,4Q
Miracle Warriors - Seal of the Dark Lord (FM) - 03 - Overhead.mid,"cheerful, tense, serious, speedy, grand",cheerful,Q1
Miracle Warriors - Seal of the Dark Lord (FM) - 04 - Castle.mid,"tense, serious, grand, fluttered",tense,Q2
Miracle Warriors - Seal of the Dark Lord (FM) - 05 - Town.mid,"cheerful, comic, speedy, fluttered",cheerful,Q1
Miracle Warriors - Seal of the Dark Lord (FM) - 06 - Cavern.mid,"tense, creepy, serious, bizarre",tense,Q2
Miracle Warriors - Seal of the Dark Lord (FM) - 07 - Battle.mid,"tense, serious, speedy",tense,Q2
Miracle Warriors - Seal of the Dark Lord (FM) - 08 - Battle Victory.mid,"cheerful, tense, speedy, rhythmic",tense,Q2
Miracle Warriors - Seal of the Dark Lord (FM) - 09 - Battle Death.mid,"creepy, depressed, frustrating, cold",depressed,Q3
Miracle Warriors - Seal of the Dark Lord (FM) - 10 - New Companion.mid,"peaceful, fluttered",fluttered,Q1
Miracle Warriors - Seal of the Dark Lord (FM) - 11 - Terrarin.mid,"tense, serious, speedy, rhythmic",tense,Q2
Miracle Warriors - Seal of the Dark Lord (FM) - 12 - Ending.mid,"tense, serious, grand",tense,Q2
Out Run (FM) - 01 - Magical Sound Shower.mid,"cheerful, speedy, dreamy, rhythmic",speedy,Q1
Out Run (FM) - 02 - Passing Breeze.mid,"cheerful, peaceful, speedy, rhythmic",cheerful,Q1
Out Run (FM) - 03 - Splash Wave.mid,"speedy, fluttered, rhythmic",speedy,Q1
Out Run (FM) - 04 - Last Wave.mid,"depressed, serious, touching, calm",touching,Q4
Out Run 3D (FM) - 01 - Magical Sound Shower.mid,"cheerful, speedy, fluttered, rhythmic",cheerful,Q1
Out Run 3D (FM) - 02 - Midnight Highway.mid,"cheerful, tense, serious, grand, fluttered",fluttered,Q1
Out Run 3D (FM) - 03 - Color Ocean.mid,"cheerful, peaceful, touching, grand",touching,Q4
Out Run 3D (FM) - 04 - Shining Wind.mid,"cheerful, peaceful, touching, grand, fluttered, rhythmic",touching,Q4
Out Run 3D (FM) - 05 - Last Wave.mid,"depressed, serious, touching, dreamy, calm",touching,Q4
Penguin Land (FM) - 01 - Title Screen.mid,"cheerful, peaceful, speedy, cute, rhythmic",cheerful,Q1
Penguin Land (FM) - 02 - Round Start.mid,"cheerful, speedy",cheerful,Q1
Penguin Land (FM) - 03 - Game Start.mid,tense,tense,Q2
Penguin Land (FM) - 04 - Main Theme.mid,"cheerful, peaceful, cute",cheerful,Q1
Penguin Land (FM) - 05 - Round Clear.mid,"cheerful, peaceful, cute, rhythmic",cheerful,Q1
Penguin Land (FM) - 06 - Unknown Music.mid,depressed,depressed,Q3
Phantasy Star (FM) - 01 - Title Screen.mid,"cheerful, peaceful, touching, speedy",cheerful,Q1
Phantasy Star (FM) - 02 - Intro.mid,"depressed, serious, calm",depressed,Q3
Phantasy Star (FM) - 03 - Town.mid,"cheerful, peaceful, calm",cheerful,Q1
Phantasy Star (FM) - 04 - Shop.mid,"cheerful, speedy, rhythmic",cheerful,Q1
Phantasy Star (FM) - 05 - Palma.mid,"cheerful, grand, fluttered",cheerful,Q1
Phantasy Star (FM) - 06 - Battle.mid,"tense, serious, speedy, bizarre",tense,Q2
Phantasy Star (FM) - 07 - Cave.mid,"tense, grand",tense,Q2
Phantasy Star (FM) - 08 - Church.mid,"tense, creepy, depressed, dreamy, calm",tense,Q2
Phantasy Star (FM) - 09 - Vehicle.mid,"tense, serious, speedy, fluttered, rhythmic",rhythmic,Q1
"Phantasy Star (FM) - 10 - Story, Conversations.mid","serious, fluttered, rhythmic",fluttered,Q1
Phantasy Star (FM) - 11 - Motavia.mid,"cheerful, tense, serious, fluttered, cold",tense,Q2
Phantasy Star (FM) - 12 - Final Dungeon.mid,"tense, creepy, serious, rhythmic",tense,Q2
Phantasy Star (FM) - 13 - Village.mid,"peaceful, depressed, calm",calm,Q4
Phantasy Star (FM) - 14 - Dezoris.mid,"tense, creepy, fluttered",tense,Q2
Phantasy Star (FM) - 15 - Tower.mid,"tense, serious, grand, fluttered",tense,Q2
Phantasy Star (FM) - 17 - Dark Falz.mid,"tense, creepy, speedy, bizarre",bizarre,Q3
Phantasy Star (FM) - 18 - Ending.mid,"depressed, serious, calm",depressed,Q3
Phantasy Star (FM) - 19 - Game Over.mid,"depressed, frustrating",frustrating,Q3
Phantasy Star (FM) - 21 - Vehicle (with Airplane SFX).mid,"tense, serious, speedy, fluttered, rhythmic",tense,Q2
"Power Strike, Aleste (FM) - 01 - Aleste.mid","tense, speedy, fluttered",tense,Q2
"Power Strike, Aleste (FM) - 02 - The Challenger.mid","tense, serious, speedy",tense,Q2
"Power Strike, Aleste (FM) - 03 - Tension of Dark Side.mid","tense, creepy, speedy",tense,Q2
"Power Strike, Aleste (FM) - 05 - The Devastation.mid","tense, creepy, serious, bizarre",tense,Q2
"Power Strike, Aleste (FM) - 06 - The Solitude.mid","tense, speedy, fluttered, rhythmic",tense,Q2
"Power Strike, Aleste (FM) - 07 - Rapid Turning.mid","tense, serious, speedy, rhythmic",tense,Q2
"Power Strike, Aleste (FM) - 08 - Don_t Cry Hi-yah.mid","tense, speedy, rhythmic",tense,Q2
"Power Strike, Aleste (FM) - 09 - Bloody Jewel.mid","tense, creepy, dreamy, rhythmic, cold",tense,Q2
"Power Strike, Aleste (FM) - 10 - Dogodaga-Dogodege.mid","tense, speedy, rhythmic, bizarre",bizarre,Q3
"Power Strike, Aleste (FM) - 11 - Go Ahead.mid","cheerful, tense, serious, grand, fluttered",tense,Q2
"Power Strike, Aleste (FM) - 12 - Triumph.mid","tense, depressed, serious, calm",tense,Q2
"Power Strike, Aleste (FM) - 13 - Easygoing.mid","cheerful, tense, speedy, dreamy, fluttered, cold",cold,Q3
"Power Strike, Aleste (FM) - 14 - Again.mid","peaceful, serious, dreamy, cold, calm",dreamy,Q4
"Power Strike, Aleste (FM) - 15 - Extra Life.mid",cheerful,cheerful,Q1
Rambo III (FM) - 01 - Title Screen.mid,"tense, serious",tense,Q2
Rambo III (FM) - 02 - Scenes 1 _ 4.mid,"tense, serious, speedy",tense,Q2
Rambo III (FM) - 03 - Scene Clear.mid,"tense, creepy, depressed, serious, speedy, grand, rhythmic",tense,Q2
Rambo III (FM) - 04 - Scenes 2 _ 5.mid,"tense, speedy, fluttered",speedy,Q1
Rambo III (FM) - 05 - Scenes 3 _ 6.mid,"tense, speedy, dreamy, fluttered, cold",tense,Q2
Rambo III (FM) - 06 - Scene 7.mid,"tense, serious, speedy, fluttered",tense,Q2
Rambo III (FM) - 07 - Mil Hind Helicopter.mid,"tense, serious, speedy",tense,Q2
Rambo III (FM) - 08 - Ending.mid,"peaceful, serious, grand, calm",serious,Q3
Rambo III (FM) - 09 - Game Over.mid,"tense, serious, speedy, fluttered, rhythmic",tense,Q2
Rampage (FM) - 01 - Title Screen.mid,"serious, grand",serious,Q3
Rampage (FM) - 02 - Character Selection.mid,"cheerful, peaceful, serious, fluttered",cheerful,Q1
Rampage (FM) - 03 - Level Theme.mid,"cheerful, tense, rhythmic",tense,Q2
Rampage (FM) - 04 - Victory Fanfare.mid,serious,serious,Q3
Rampage (FM) - 05 - Ending.mid,"touching, boring, cold, calm",touching,Q4
Rampage (FM) - 06 - Unknown.mid,"tense, creepy, serious",tense,Q2
Rampage (FM) - 07 - Title Screen (Fast).mid,"serious, speedy, grand, fluttered",speedy,Q1
Rastan (FM) - 01 - Opening.mid,"creepy, dreamy, bizarre, cold",dreamy,Q4
Rastan (FM) - 02 - Aggressive World.mid,"tense, creepy, serious, rhythmic, bizarre",creepy,Q2
Rastan (FM) - 03 - Bad Bible.mid,"tense, creepy, dreamy, bizarre",tense,Q2
Rastan (FM) - 04 - Re-In-Carnation.mid,"tense, creepy, serious",tense,Q2
Rastan (FM) - 05 - The Devil Boss Carnival.mid,"tense, serious, speedy, grand",tense,Q2
Rastan (FM) - 06 - Scene Clear.mid,"cheerful, grand, fluttered, bizarre",fluttered,Q1
Rastan (FM) - 07 - The Man of Saga.mid,"depressed, serious, cold, calm",depressed,Q3
Rastan (FM) - 08 - Game Over.mid,"tense, depressed",tense,Q2
Shanghai (FM) - 01 - Title Screen.mid,"peaceful, dreamy, calm",dreamy,Q4
Shanghai (FM) - 02 - Intro _ Music Type C.mid,"cheerful, peaceful, comic, cute, rhythmic",cheerful,Q1
Shanghai (FM) - 03 - Music Type A.mid,"cheerful, comic, fluttered, rhythmic",cheerful,Q1
Shanghai (FM) - 04 - Music Type B.mid,cheerful,cheerful,Q1
Shanghai (FM) - 05 - Dragon.mid,"tense, rhythmic, bizarre",bizarre,Q3
Shanghai (FM) - 06 - Well Done.mid,"cheerful, speedy, rhythmic",cheerful,Q1
Shanghai (FM) - 07 - Unknown 1.mid,"depressed, serious, dreamy",dreamy,Q4
Shanghai (FM) - 08 - Unknown 2.mid,"cheerful, peaceful, serious, touching, rhythmic",touching,Q4
Solomon no Kagi (FM) - 01 - Main Theme.mid,"cheerful, tense, depressed, comic, dreamy, bizarre, cold",cheerful,Q1
Solomon no Kagi (FM) - 02 - Room Clear.mid,cheerful,cheerful,Q1
Solomon no Kagi (FM) - 03 - Hidden Room.mid,"cheerful, peaceful, dreamy, cold",cheerful,Q1
Solomon no Kagi (FM) - 04 - Hurry Up.mid,"tense, serious, speedy",tense,Q2
Solomon no Kagi (FM) - 05 - Pages Room.mid,"tense, serious, dreamy, fluttered, cold, calm",tense,Q2
Solomon no Kagi (FM) - 06 - Princess Room.mid,"cheerful, peaceful, dreamy, cold",cheerful,Q1
Solomon no Kagi (FM) - 07 - Solomon_s Room.mid,"tense, serious, speedy, grand, fluttered, rhythmic",tense,Q2
Solomon no Kagi (FM) - 08 - Ending.mid,"cheerful, peaceful, touching, fluttered, rhythmic",touching,Q4
Solomon no Kagi (FM) - 09 - Death.mid,"comic, frustrating",frustrating,Q3
Solomon no Kagi (FM) - 10 - Game Over.mid,"depressed, frustrating",depressed,Q3
Space Harrier 3-D (FM) - 01 - Main BGM.mid,"cheerful, touching, speedy",touching,Q4
Space Harrier 3-D (FM) - 02 - Title.mid,"tense, bizarre, cold",bizarre,Q3
Space Harrier 3-D (FM) - 03 - Ending.mid,"peaceful, calm",calm,Q4
Space Harrier 3-D (FM) - 04 - Stanley.mid,"tense, creepy, serious",tense,Q2
Space Harrier 3-D (FM) - 05 - Vakda.mid,"tense, serious, speedy, rhythmic",tense,Q2
Space Harrier 3-D (FM) - 06 - Bright Rays.mid,"cheerful, peaceful, fluttered, rhythmic",cheerful,Q1
Space Harrier 3-D (FM) - 07 - Volcano.mid,"tense, serious, speedy, rhythmic",tense,Q2
Space Harrier 3-D (FM) - 08 - Mysterious Sky.mid,"tense, serious, speedy, rhythmic, bizarre",tense,Q2
Space Harrier 3-D (FM) - 09 - Danger Area.mid,"tense, serious, grand",tense,Q2
Space Harrier 3-D (FM) - 10 - Game Over.mid,"peaceful, calm",peaceful,Q4
Space Harrier 3-D (FM) - 11 - Squilla.mid,"tense, speedy, rhythmic",tense,Q2
Space Harrier 3-D (FM) - 12 - Ida.mid,"tense, rhythmic",tense,Q2
Space Harrier 3-D (FM) - 13 - Goderni.mid,"tense, serious, dreamy, bizarre",tense,Q2
Space Harrier 3-D (FM) - 14 - Syura.mid,"tense, serious, bizarre",bizarre,Q3
Space Harrier 3-D (FM) - 15 - Wiwi Jumbo.mid,"tense, creepy, serious, bizarre",bizarre,Q3
Space Harrier 3-D (FM) - 16 - White Summer.mid,"peaceful, touching, calm",calm,Q4
Space Harrier 3-D (FM) - 17 - Lovers.mid,"peaceful, calm",calm,Q4
Space Harrier 3-D (FM) - 18 - Lake Side Memory.mid,"depressed, touching, calm",touching,Q4
Space Harrier 3-D (FM) - 19 - Battle Field.mid,"cheerful, tense, speedy, fluttered, rhythmic",cheerful,Q1
Summer Games (FM) - 01 - Title Screen.mid,"cheerful, tense, speedy, fluttered, rhythmic",cheerful,Q1
Summer Games (FM) - 02 - Opening.mid,"cheerful, peaceful",cheerful,Q1
Summer Games (FM) - 03 - Event Start.mid,"cheerful, fluttered",cheerful,Q1
Summer Games (FM) - 04 - Pole Vault.mid,"cheerful, speedy, rhythmic",cheerful,Q1
Summer Games (FM) - 05 - 100m Dash.mid,"cheerful, tense, speedy, rhythmic",cheerful,Q1
Summer Games (FM) - 06 - 100m Dash End.mid,"cheerful, grand",cheerful,Q1
Summer Games (FM) - 07 - Gymnastics.mid,"cheerful, tense, speedy, fluttered, rhythmic",cheerful,Q1
Summer Games (FM) - 08 - Platform Diving.mid,"tense, speedy, rhythmic, cold",tense,Q2
Summer Games (FM) - 09 - 100m Freestyle.mid,"cheerful, tense, speedy, rhythmic",cheerful,Q1
Summer Games (FM) - 10 - 100m Freestyle End.mid,cheerful,cheerful,Q1
Summer Games (FM) - 11 - Unused.mid,"depressed, frustrating",frustrating,Q3
Super Basketball (FM) - 01 - Background Music.mid,"cheerful, dreamy, cute",cheerful,Q1
Thunder Blade (FM) - 01 - Title Screen.mid,"cheerful, tense, speedy",tense,Q2
Thunder Blade (FM) - 02 - Burning Point.mid,"cheerful, tense, depressed, speedy, rhythmic, bizarre",cheerful,Q1
Thunder Blade (FM) - 03 - Thunder Blade.mid,"tense, creepy, speedy, rhythmic, bizarre, cold",bizarre,Q3
Thunder Blade (FM) - 04 - Type II.mid,"cheerful, tense, speedy, fluttered, rhythmic",tense,Q2
Thunder Blade (FM) - 05 - Game Over.mid,"touching, calm",touching,Q4
Wonder Boy III (FM) - 01 - The Last Dungeon.mid,"cheerful, tense, speedy, dreamy, cold",tense,Q2
Wonder Boy III (FM) - 02 - Vs. Dragon.mid,"tense, serious, speedy, fluttered",tense,Q2
Wonder Boy III (FM) - 03 - And Now....mid,"tense, creepy, serious, bizarre, frustrating",tense,Q2
Wonder Boy III (FM) - 04 - Monster-Town.mid,"cheerful, peaceful, cute, rhythmic",cheerful,Q1
Wonder Boy III (FM) - 05 - Shop (The Dragon_s Trap).mid,"tense, speedy",tense,Q2
Wonder Boy III (FM) - 06 - Continue.mid,"cheerful, fluttered",cheerful,Q1
Wonder Boy III (FM) - 07 - Mind of Hero.mid,"tense, serious, rhythmic",tense,Q2
Wonder Boy III (FM) - 08 - Side-Crawler_s Dance.mid,"cheerful, peaceful, speedy, cute",cheerful,Q1
Wonder Boy III (FM) - 09 - The Danger Zone.mid,"tense, serious, rhythmic",tense,Q2
Wonder Boy III (FM) - 10 - Mouse-Man Falling.mid,"cheerful, comic, cute",cheerful,Q1
Wonder Boy III (FM) - 11 - It_s a Treasure Box.mid,"cheerful, peaceful, cute, rhythmic",cheerful,Q1
Wonder Boy III (FM) - 12 - The Monster_s Lair.mid,"tense, creepy, serious, dreamy",tense,Q2
Wonder Boy III (FM) - 13 - Endless War.mid,"peaceful, touching, calm",touching,Q4
Wonder Boy III (FM) - 14 - The Dragon_s Trap.mid,"tense, speedy, rhythmic",tense,Q2
Wonder Boy in Monster Land (FM) - 01 - Main Theme.mid,"peaceful, serious, fluttered, calm",fluttered,Q1
Wonder Boy in Monster Land (FM) - 02 - Boss.mid,"tense, creepy, serious, speedy",tense,Q2
Wonder Boy in Monster Land (FM) - 03 - Town.mid,"cheerful, peaceful, comic, cute, rhythmic",cheerful,Q1
Wonder Boy in Monster Land (FM) - 04 - Shop.mid,"cheerful, peaceful, rhythmic",cheerful,Q1
Wonder Boy in Monster Land (FM) - 05 - Cave _ Castle.mid,"cheerful, tense, comic, serious, speedy, fluttered",tense,Q2
Wonder Boy in Monster Land (FM) - 06 - Flute.mid,"dreamy, cold",dreamy,Q4
Wonder Boy in Monster Land (FM) - 07 - Labyrinth of No End.mid,"serious, dreamy, rhythmic, cold",rhythmic,Q1
Wonder Boy in Monster Land (FM) - 08 - So Long.mid,"cheerful, peaceful, serious, touching, fluttered",cheerful,Q1
Wonder Boy in Monster Land (FM) - 09 - Round Clear.mid,"cheerful, fluttered",cheerful,Q1
Wonder Boy in Monster Land (FM) - 10 - Death.mid,"depressed, serious",serious,Q3
Ys (FM) - 01 - Feena.mid,"serious, dreamy, boring, calm",dreamy,Q4
Ys (FM) - 02 - Fountain of Love.mid,"cheerful, peaceful, cute",cheerful,Q1
Ys (FM) - 03 - Tears of Sylph.mid,"depressed, serious, calm",depressed,Q3
Ys (FM) - 04 - The Syonin.mid,"cheerful, peaceful, fluttered, rhythmic",cheerful,Q1
Ys (FM) - 05 - First Step Towards Wars.mid,"cheerful, tense, serious, speedy, fluttered, rhythmic",tense,Q2
Ys (FM) - 06 - Palace.mid,"tense, creepy, depressed, serious, calm",tense,Q2
Ys (FM) - 07 - Holders of Power.mid,"tense, speedy, rhythmic, bizarre",tense,Q2
Ys (FM) - 08 - Palace of Destruction.mid,"tense, serious, speedy, grand, fluttered, rhythmic",tense,Q2
Ys (FM) - 09 -  Beat of the Terror.mid,"tense, creepy, serious",tense,Q2
Ys (FM) - 10 - Temple del Sol.mid,"peaceful, depressed, touching, dreamy, calm",dreamy,Q4
Ys (FM) - 11 - Tower of the Shadow of Death.mid,"tense, fluttered, rhythmic",tense,Q2
Ys (FM) - 12 - Devil_s Wind.mid,"tense, creepy, grand",tense,Q2
Ys (FM) - 13 - The Last Moment of the Dark.mid,"tense, creepy, serious, grand",tense,Q2
Ys (FM) - 14 - Final Battle.mid,"cheerful, tense, speedy, rhythmic",tense,Q2
Ys (FM) - 15 - Rest In Peace.mid,"peaceful, depressed, dreamy, cold, calm",dreamy,Q4
Ys (FM) - 16 - The Morning Grow.mid,"cheerful, tense, serious, grand, fluttered",cheerful,Q1
Ys (FM) - 17 - See You Again.mid,"cheerful, speedy, fluttered, rhythmic",cheerful,Q1
Ys (FM) - 18 - Treasure Box.mid,dreamy,dreamy,Q4
Ys (FM) - 19 - Game Over.mid,"touching, dreamy, calm",touching,Q4
Ys (FM) - 20 - Theme of Adol.mid,"cheerful, tense, speedy, fluttered, rhythmic",tense,Q2
Zaxxon 3-D (FM) - 01 - Title Screen.mid,"tense, serious, speedy, fluttered",tense,Q2
Zaxxon 3-D (FM) - 02 - Outer Space.mid,"cheerful, tense, speedy, rhythmic",cheerful,Q1
Zaxxon 3-D (FM) - 03 - Enemy_s Base.mid,"tense, speedy, grand, rhythmic, bizarre, cold",tense,Q2
Zaxxon 3-D (FM) - 04 - Boss.mid,"tense, serious, rhythmic",tense,Q2
Zaxxon 3-D (FM) - 05 - Final Boss.mid,"tense, serious, speedy, bizarre",bizarre,Q3
Zaxxon 3-D (FM) - 06 - Mission Complete.mid,"cheerful, grand, fluttered",cheerful,Q1
Zaxxon 3-D (FM) - 07 - Game Over.mid,serious,serious,Q3
Zillion II (FM) - 01 - Title Screen.mid,"tense, bizarre, cold",bizarre,Q3
Zillion II (FM) - 02 - Pure Stone.mid,"cheerful, serious, fluttered, rhythmic",cheerful,Q1
Zillion II (FM) - 03 - Inside Base.mid,"cheerful, tense, serious, fluttered",cheerful,Q1
Zillion II (FM) - 04 - Boss.mid,"cheerful, tense, rhythmic",cheerful,Q1
Zillion II (FM) - 05 - Push!.mid,"cheerful, peaceful, cute, rhythmic",cheerful,Q1
Sky_Adventure_(Alpha-68K)_16 Game Over.mid,"touching, cute, grand",touching,Q4
Sky_Adventure_(Alpha-68K)_06 Boss.mid,"tense, creepy, serious, speedy",tense,Q2
"Pro_Yakyuu_Family_Stadium_Pennant_Race_(MSX2,_MSX-Music)_01 Title Screen.mid","cheerful, comic, dreamy, grand",cheerful,Q1
"F1_Douchuuki_(MSX2,_OPLL)_01 Title Screen.mid","tense, serious, grand, fluttered",tense,Q2
